solver;pc;dt;np;L2;H1;time
preonly;bjacobi;3.90625e-09;1;1.0340332306549431e-13;2.1055576316459568e-11;2.39
preonly;bjacobi;3.90625e-09;2;1.0346116688994805e-13;2.1142298945759134e-11;2.52
preonly;bjacobi;3.90625e-09;4;1.0339418913270536e-13;2.1105630266051622e-11;2.51
preonly;bjacobi;3.90625e-09;8;1.0325012921031602e-13;2.1128618180712674e-11;2.63
preonly;bjacobi;3.90625e-09;16;1.0302362429213225e-13;2.1123457414235555e-11;4.63
preonly;asm;5e-07;1;6.563694207355452e-14;1.6039226208946307e-11;0.95
preonly;asm;5e-07;2;6.575212535333847e-14;1.566053327758602e-11;1.00
preonly;asm;5e-07;4;5.3353602369930147e-08;0.0008478688556154984;1.03
preonly;asm;5e-07;8;0.04859048517834253;772.1757759649657;1.15
preonly;asm;5e-07;16;30.3595595156381;482137.04156383954;1.86
preonly;asm;2.5e-07;1;1.0183145875793109e-13;2.105016185670988e-11;0.97
preonly;asm;2.5e-07;2;1.0160189369642992e-13;2.0830019941987668e-11;1.04
preonly;asm;2.5e-07;4;1.0200546018713077e-13;2.122955713364874e-11;1.05
preonly;asm;2.5e-07;8;2.754721042145952e-13;5.474426944230918e-09;1.19
preonly;asm;2.5e-07;16;7.856651490199232e-07;0.020217870197434033;1.92
preonly;asm;1.25e-07;1;9.392439597102474e-14;2.0185164792714297e-11;0.97
preonly;asm;1.25e-07;2;9.386309835852713e-14;2.0127007004589357e-11;1.07
preonly;asm;1.25e-07;4;9.396788252660375e-14;2.669151926353602e-11;1.10
preonly;asm;1.25e-07;8;1.476024138781099e-12;4.108328008481795e-08;1.23
preonly;asm;1.25e-07;16;6.10220783296745e-11;1.7988986735767094e-06;1.93
preonly;asm;6.25e-08;1;9.921655276428923e-14;2.0645227666312377e-11;1.03
preonly;asm;6.25e-08;2;9.921025641509464e-14;2.0639515790478545e-11;1.10
preonly;asm;6.25e-08;4;9.921779031420202e-14;2.06398408983466e-11;1.22
preonly;asm;6.25e-08;8;9.923355948837885e-14;2.0640215495464715e-11;1.26
preonly;asm;6.25e-08;16;9.925765258795506e-14;2.061653122550297e-11;2.13
preonly;asm;3.125e-08;1;1.0368233558942726e-13;2.1065603930025952e-11;1.15
preonly;asm;3.125e-08;2;1.0367926165312179e-13;2.106284187028387e-11;1.20
preonly;asm;3.125e-08;4;1.0368258346307447e-13;2.10620605920109e-11;1.23
preonly;asm;3.125e-08;8;1.0368977973182494e-13;2.106507241573444e-11;1.34
preonly;asm;3.125e-08;16;1.0370006870558043e-13;2.10650928056634e-11;2.25
preonly;asm;1.5625e-08;1;1.035695441422895e-13;2.1077411155027613e-11;1.32
preonly;asm;1.5625e-08;2;1.0355679171829213e-13;2.106658318171486e-11;1.43
preonly;asm;1.5625e-08;4;1.0357121747374762e-13;2.1062703023283175e-11;1.46
preonly;asm;1.5625e-08;8;1.0360241686163548e-13;2.108751904695354e-11;1.54
preonly;asm;1.5625e-08;16;1.0364567157673521e-13;2.1079213265535414e-11;2.57
preonly;asm;7.8125e-09;1;1.036827050851142e-13;2.107020687234189e-11;1.69
preonly;asm;7.8125e-09;2;1.0366509133867323e-13;2.1051286027908696e-11;1.78
preonly;asm;7.8125e-09;4;1.0368422691835012e-13;2.105049442104037e-11;1.85
preonly;asm;7.8125e-09;8;1.0372652918959973e-13;2.1066021977619542e-11;1.93
preonly;asm;7.8125e-09;16;1.0378329589136074e-13;2.109451164072104e-11;3.34
preonly;asm;3.90625e-09;1;1.0340332306549431e-13;2.1055576316459568e-11;2.40
preonly;asm;3.90625e-09;2;1.033844834290191e-13;2.1034130995483304e-11;2.58
preonly;asm;3.90625e-09;4;1.034051286361681e-13;2.103617697197206e-11;2.60
preonly;asm;3.90625e-09;8;1.0345046920559583e-13;2.107559431479024e-11;2.66
preonly;asm;3.90625e-09;16;1.0351111420795402e-13;2.104764089516246e-11;4.75
gmres;cholesky;5e-07;1;6.563694207355472e-14;1.603922620894626e-11;0.96
gmres;cholesky;5e-07;2;6.563694207355476e-14;1.603922620894624e-11;1.21
gmres;cholesky;5e-07;4;6.563694207355458e-14;1.603922620894622e-11;1.28
gmres;cholesky;5e-07;8;6.563694207355463e-14;1.6039226208946223e-11;1.46
gmres;cholesky;5e-07;16;6.563694207355471e-14;1.603922620894624e-11;2.44
gmres;cholesky;2.5e-07;1;1.0183145875793094e-13;2.1050161856709833e-11;0.97
gmres;cholesky;2.5e-07;2;1.018314587579311e-13;2.1050161856709875e-11;1.40
gmres;cholesky;2.5e-07;4;1.0183145875793079e-13;2.1050161856709865e-11;1.49
gmres;cholesky;2.5e-07;8;1.01831458757931e-13;2.1050161856709852e-11;1.69
gmres;cholesky;2.5e-07;16;1.0183145875793086e-13;2.105016185670987e-11;3.11
gmres;cholesky;1.25e-07;1;9.392439597102478e-14;2.018516479271429e-11;0.97
gmres;cholesky;1.25e-07;2;9.392439597102477e-14;2.018516479271434e-11;1.76
gmres;cholesky;1.25e-07;4;9.39243959710248e-14;2.018516479271432e-11;1.91
gmres;cholesky;1.25e-07;8;9.392439597102477e-14;2.018516479271435e-11;2.25
gmres;cholesky;1.25e-07;16;9.392439597102476e-14;2.0185164792714304e-11;4.24
gmres;cholesky;6.25e-08;1;9.921655276428922e-14;2.0645227666312432e-11;1.03
gmres;cholesky;6.25e-08;2;9.921655276428925e-14;2.0645227666312393e-11;2.47
gmres;cholesky;6.25e-08;4;9.92165527642892e-14;2.064522766631241e-11;2.83
