solver;pc;N;np;L2;H1;time
preonly;bjacobi;40;16;249.69628080285474;5024502.29798887;2.35
preonly;bjacobi;80;1;0.06241988260495268;1857.603838907885;3.65
preonly;bjacobi;80;2;4.152020135122043;143398.34814788005;2.74
preonly;bjacobi;80;4;86.67639917976314;3480899.6792266695;2.20
preonly;bjacobi;80;8;30.50314238663465;1177232.7579109545;2.08
preonly;bjacobi;80;16;183.68045391640698;7036234.634607259;3.06
preonly;bjacobi;160;1;0.03045624414530195;1842.855538791547;11.96
preonly;bjacobi;160;2;0.03831433157313669;2325.317899410532;8.21
preonly;bjacobi;160;4;2.2845050188072635;177027.16314362464;6.08
preonly;bjacobi;160;8;8.249742076703914;657174.1544298824;5.08
preonly;bjacobi;160;16;27.039171949478504;2034945.6557905513;6.79
preonly;asm;20;1;0.0006167398859856507;4.707027031877117;1.28
preonly;asm;20;2;0.0013194956173548163;9.553286184153725;1.28
preonly;asm;20;4;0.0006667244262172679;5.338347823566505;1.28
preonly;asm;20;8;0.0003413179443102015;2.508541136094104;1.35
preonly;asm;20;16;0.0003368358257585333;2.605147168931524;2.15
preonly;asm;40;1;0.0158294805089658;246.49415211883246;1.72
preonly;asm;40;2;0.033732544224941326;517.2833870099977;1.54
preonly;asm;40;4;0.0070826492668063816;111.48721933715902;1.45
preonly;asm;40;8;0.007338521545713336;118.47747662183492;1.47
preonly;asm;40;16;0.014509753037805327;225.16689186379787;2.32
preonly;asm;80;1;0.06241988260495268;1857.603838907885;3.75
preonly;asm;80;2;0.9438575955412078;27000.452099292263;2.81
preonly;asm;80;4;0.048510103852615755;1434.6509825233475;2.26
preonly;asm;80;8;0.09174493497081557;2745.3166823811803;2.09
preonly;asm;80;16;0.027643284063250256;823.5087016349365;3.14
preonly;asm;160;1;0.03045624414530195;1842.855538791547;12.88
preonly;asm;160;2;0.03831433157313669;2325.317899410532;8.66
preonly;asm;160;4;0.12762764497617377;7618.143312614304;6.34
preonly;asm;160;8;0.03817031039915782;2338.6303855749024;5.41
preonly;asm;160;16;0.07745203729263551;4558.889901381176;6.81
gmres;cholesky;20;1;2.6552283141001817e-15;1.9616765238799173e-12;1.54
gmres;cholesky;20;2;2.6552283141001825e-15;1.9616765238799173e-12;1.63
gmres;cholesky;20;4;2.6552283141001794e-15;1.9616765238799165e-12;1.65
gmres;cholesky;20;8;2.655228314100184e-15;1.961676523879918e-12;1.63
gmres;cholesky;20;16;2.6552283141001833e-15;1.961676523879919e-12;2.62
gmres;cholesky;40;1;2.6553083034795614e-15;1.958752402680583e-12;3.43
gmres;cholesky;40;2;2.655308303479558e-15;1.9587524026805726e-12;2.84
gmres;cholesky;40;4;2.655308303479549e-15;1.958752402680581e-12;2.32
gmres;cholesky;40;8;2.6553083034795555e-15;1.9587524026805782e-12;2.26
gmres;cholesky;80;1;2.6553140525099335e-15;1.9585583283059484e-12;14.14
gmres;cholesky;80;2;2.6553140525098704e-15;1.958558328305958e-12;8.75
gmres;cholesky;80;4;2.6553140525098318e-15;1.9585583283059476e-12;6.10
gmres;cholesky;80;8;2.6553140525098397e-15;1.9585583283059476e-12;5.14
gmres;cholesky;160;1;2.655314396229277e-15;1.958602872170483e-12;85.44
gmres;cholesky;160;2;2.655314396229431e-15;1.958602872170527e-12;34.34
gmres;cholesky;160;4;2.6553143962294198e-15;1.958602872170546e-12;21.59
gmres;cholesky;160;8;2.6553143962294304e-15;1.958602872170534e-12;16.77
gmres;lu;20;1;2.6552283141001813e-15;1.9616765238799157e-12;1.61
gmres;lu;20;2;2.6552283141001813e-15;1.9616765238799177e-12;1.66
gmres;lu;20;4;2.65522831410018e-15;1.961676523879917e-12;1.56
gmres;lu;20;8;2.6552283141001825e-15;1.961676523879917e-12;1.62
gmres;lu;20;16;2.655228314100181e-15;1.9616765238799165e-12;2.60
gmres;lu;40;1;2.6553083034795748e-15;1.9587524026805915e-12;3.61
gmres;lu;40;2;2.655308303479553e-15;1.9587524026805726e-12;3.09
gmres;lu;40;4;2.6553083034795476e-15;1.958752402680579e-12;2.45
gmres;lu;40;8;2.6553083034795547e-15;1.95875240268058e-12;2.35
gmres;lu;80;1;2.6553140525099245e-15;1.958558328305945e-12;13.97
gmres;lu;80;2;2.6553140525098748e-15;1.9585583283059585e-12;8.93
gmres;lu;80;4;2.6553140525098255e-15;1.9585583283059484e-12;6.47
gmres;lu;80;8;2.655314052509845e-15;1.958558328305949e-12;5.10
gmres;lu;160;1;2.6553143962292312e-15;1.958602872170494e-12;73.86
gmres;lu;160;2;2.6553143962294233e-15;1.9586028721705275e-12;44.01
gmres;lu;160;4;2.6553143962294095e-15;1.9586028721705413e-12;28.24
gmres;lu;160;8;2.6553143962294166e-15;1.9586028721705336e-12;16.51
gcr;cholesky;20;1;2.6552283141001794e-15;1.9616765238799185e-12;1.47
