sg_1;sg_2;sg_3;sg_4;sg_5;f_1_r;f_1_i;f_2_r;f_2_i;f_3_r;f_3_i;f_4_r;f_4_i
0.0;0.0;0.0;0.2513;0.0;-3819.82243751;-0.00939862;1644.34198221;-0.00106735;-673.45904602;-0.00056877;-127.34471979;0.00293218
0.0;0.0;0.0;0.1257;0.0;571.62401129;-0.00045066;1084.48793064;-0.00035431;-453.69793291;9.832e-05;136.44231862;-0.00199968
0.0628;0.0;0.0;0.0;0.0;-367.17785068;-8.679e-05;2423.62024007;-0.0015188;-735.80931884;-0.0001997;371.65707951;0.00010488
0.0;0.0;0.0;0.1571;0.0;954.762244;-0.00115461;-2208.20338655;-0.00122777;-228.56787122;-8.74e-06;3097.91774833;-0.07180718
0.0;0.0;0.2513;0.0;0.0;374.51970424;-0.00026807;-758.59798432;-0.00020353;-108.94939625;3.036e-05;32.42009474;0.00055617
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.2513;0.0;0.0;0.0;-151.87487534;2.61e-06;-735.56114548;-0.00012255;-204.73189118;-0.0014105;-47.17956222;0.00632717
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.1885;0.0;0.0;0.0;0.0;222.54182778;-8.746e-05;-584.24050228;-0.00013579;-305.43692805;-4.136e-05;459.95885726;6.343e-05
0.0;0.0;0.0;0.1885;0.0;265.34452243;-0.00016941;2641.02474834;-0.00286986;3.68713045;7.289e-05;-643.40423758;-0.02126463
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.1257;0.0;0.0;0.0;204.49486969;-8.61e-05;-7089.58730937;-0.01257964;-717.09389113;-0.00019516;208.10779367;-0.00958638
0.1257;0.0;0.0;0.0;0.0;-83.38247284;8.5e-06;-4702.54318605;-0.00574201;-511.09406574;-8.239e-05;224.65653925;0.00347587
0.0;0.0;0.0;0.0;0.0942;417.09778988;-0.00028199;12088.29945402;-0.05293133;-474.8516666;-0.00014497;-1691.25637398;-0.08958215
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.2827;0.0;0.0;0.0;-195.0852512;6.25e-06;-661.44746119;-9.922e-05;-1110.28630013;-0.00141486;-879.43521374;-0.00213999
0.1885;0.0;0.0;0.0;0.0;-145.82614081;2.91e-06;-9140.04383361;-0.01613669;-461.9379269;-4.525e-05;-23.98351927;-0.00023833
0.1257;0.0;0.0;0.0;0.0;-863.28802451;-0.00075353;2643.7141698;-0.00131432;-510.04326607;-0.00024259;993.05078495;-0.004108
0.0;0.0;0.0;0.0;0.0628;518.32248393;-0.00033987;2969.34024004;-0.00223306;-788.24685948;-0.00021656;-26219.79064935;49.84679944
0.0;0.2199;0.0;0.0;0.0;-174.32147013;2.86e-06;-944.03020673;-0.00024981;-1276.04403924;-0.00126389;-4000.71131007;-1.19291969
0.1571;0.0;0.0;0.0;0.0;181.64167509;-6.629e-05;-1222.96316698;-0.00080692;-1211.32403153;-0.00060467;525.79009233;0.00317666
0.0;0.0;0.0;0.0;0.0628;489.36746873;-0.0003208;2018.8144456;-0.00106739;-714.09088188;-0.00021444;164.15352862;9.544e-05
