sg_1;sg_2;sg_3;sg_4;sg_5;sg_6;sg_7;sg_8;sg_9;sg_10;f_1_r;f_1_i;f_2_r;f_2_i;f_3_r;f_3_i;f_4_r;f_4_i
0.0;0.2199;0.0;0.0628;0.0;0.0;0.0;0.2199;0.0;0.1571;-447.6939444;-0.00057279;29.21740701;-1.00902991;-1140.08613311;5.31583933;8106.72522877;491.19583498
0.0942;0.1885;0.0;0.0;0.1571;0.0;0.1571;0.0;0.0;0.1885;-381.68523996;-0.00343516;-320.58723649;-1.31177198;-550.99656225;3.38725684;2307.65178741;209.65105273
0.0;0.0;0.1885;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-456.25589956;-0.00281843;513.76047206;-0.0199772;-575.47156742;-0.11840387;-541.63638724;-0.20177499
0.0;0.0942;0.0;0.0;0.0;0.0;0.2199;0.0;0.0;0.0;-449.36125;-0.00299218;701.69198558;-0.18242157;-417.3096965;1.07139623;-370.14273381;-0.2552571
0.0;0.0;0.0;0.0;0.0;0.1571;0.0;0.0;0.0;0.1885;-453.60242589;-0.0032448;511.2967032;-0.05238289;-443.8548682;-0.16990288;-880.05563448;-5.0609662
0.0;0.0;0.1257;0.0;0.2199;0.1885;0.0;0.0942;0.0;0.0;-424.20159483;-0.00233938;536.5666317;-0.30657862;-1435.0634225;19.01712755;1690.5387105;25.4469897
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0942;0.0;-465.04882379;-0.00145856;442.02889041;0.00428329;-722.74560766;-0.10405163;19327.10279188;-3832.48331809
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1257;0.0;-450.73079351;-0.00159266;440.58413593;-0.00083288;-624.37192203;-0.12349567;-572.10064589;-1.61936183
0.0;0.0;0.1257;0.0;0.0;0.1571;0.1885;0.0;0.0;0.0;-446.64947007;-0.00320323;229.83331881;-0.2909595;-535.36804537;0.05057252;-1721.5105647;22.05923323
0.1257;0.0;0.0;0.0;0.0;0.0;0.1257;0.0;0.1885;0.0;-422.69080822;-0.00406335;464.99893919;-0.05606779;-473.36478315;-0.0485464;-913.74200562;7.95900034
0.0;0.0;0.0;0.0;0.0;0.1257;0.1885;0.0;0.2199;0.0;-414.5742216;-0.00284773;515.1351773;-0.06326314;-448.58246419;0.21932553;-5172.04880981;365.2086056
0.0;0.0;0.0;0.1571;0.1571;0.0;0.0;0.0942;0.0;0.0;-448.68503991;-0.00419225;1561.31435742;-4.19344323;-406.71668239;-0.04629341;-1748.27153718;14.44987254
0.0;0.1257;0.0;0.0;0.1571;0.0;0.0;0.0;0.0;0.0;-435.56832508;-0.00401329;487.0348303;-0.02483504;-486.28150079;-0.91108093;-436.79980649;-0.47982669
0.0;0.0;0.2513;0.0;0.0;0.0;0.0;0.0;0.0;0.1571;-472.1759504;-0.00490962;657.14029909;-0.21581816;-447.18030536;0.02168638;-599.58936265;2.89910156
0.0;0.1257;0.0942;0.0;0.0;0.0942;0.0;0.0;0.0;0.0;-458.45527402;-0.00334645;487.47823098;-0.03428094;-623.74282646;-7.60162483;-575.28583428;0.54520146
0.0;0.0;0.1885;0.1257;0.2199;0.0;0.1885;0.0;0.0;0.0;-406.84195845;-0.00458986;-335.31514703;-1.77284939;-328.79510737;1.76231665;1079.20428016;8.28995812
0.0;0.0;0.0;0.0;0.1571;0.0942;0.0;0.0;0.0;0.0;-448.8822213;-0.00334272;475.62241263;-0.02115619;-466.14919797;-0.16530037;-380.36938811;-0.59426328
0.2199;0.0942;0.0;0.0;0.0;0.0;0.1885;0.0;0.0;0.0;-411.19491385;-0.00353248;8264.46671337;-284.16565678;-529.56605344;0.18875981;-678.75644711;27.84058908
0.1257;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-481.40443287;-0.00140229;442.99648381;0.00053708;-613.50089303;-0.14717222;1018.99911281;-23.77415562
0.0;0.1571;0.0;0.0;0.1571;0.0;0.0;0.0;0.0;0.0;-504.20815557;-0.00147385;477.63109867;-0.03411042;-442.556766;-0.00812924;-1023.5935774;36.85826926
0.0;0.2199;0.0;0.2513;0.1885;0.0;0.0;0.0;0.0;0.1571;-428.79934634;-0.00155996;764.00552169;-0.58541359;-374.2482072;6.2689392;1347.75875924;-28.46862923
0.0;0.0;0.0;0.1885;0.1885;0.1885;0.0;0.1885;0.0;0.0;-387.32006284;-0.00429245;257.59809522;-0.66262552;-724.07855196;1.01547308;484.03950601;2.30945825
0.0;0.0;0.0;0.0;0.0;0.0;0.1571;0.0;0.0;0.0;-451.68249409;-0.00203845;428.03683041;-0.00134428;-668.91918651;-0.16001558;-592.78435377;0.4785341
0.0;0.0;0.0;0.0;0.1885;0.0;0.0;0.1257;0.1257;0.0;-436.72873304;-0.003421;882.6593079;-0.65460791;-440.42073606;-0.07082312;-927.1294934;2.01734141
0.0942;0.0;0.0;0.0;0.0;0.0;0.0;0.1571;0.0;0.0;-447.24151868;-0.00311003;652.79153502;-0.07844273;-458.10336789;-0.18804991;-570.12305709;-2.11250197
0.0;0.1571;0.0;0.0;0.2199;0.0;0.0;0.0;0.0;0.1885;-474.87250539;-0.00379486;153.36165748;-0.80256266;-881.58032875;2.4474801;-5253.38889571;129.29884565
0.1571;0.0;0.1885;0.0;0.0;0.0;0.1571;0.0;0.0;0.0;-448.39355194;-0.00374504;635.01615165;-0.32430449;-459.41165766;0.11851111;18594.00075568;2375.26598449
0.0;0.0;0.0;0.0;0.0;0.0;0.1885;0.0;0.0;0.0;-423.98841967;-0.00300618;434.21108524;-0.00962964;-512.25342167;-0.18171998;-484.09171262;0.01002413
0.0;0.0;0.0;0.0;0.0;0.0;0.0942;0.0;0.0942;0.0;-423.43799237;-0.00339279;479.21326273;-0.00305833;-574.04103031;-0.11475625;-475.40888133;0.04961539
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2199;0.0;-441.06327408;-0.00288801;550.93411602;-0.03783902;-564.42576575;-0.05356085;-491.78363787;-0.03911985
0.0;0.0;0.0;0.0314;0.0;0.0;0.1257;0.0;0.0;0.0;-466.28491907;-0.00128639;506.15005273;-0.01057608;-638.61055652;-0.13815139;-548.92733957;0.39558026
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1571;0.0;-445.85703034;-0.00264794;454.56014133;-0.00171881;-615.97261248;-0.10874165;-547.72490413;-0.39653537
0.0;0.0;0.0;0.0;0.0;0.1571;0.0;0.0;0.0;0.2199;-380.39034488;-0.0051402;488.29893872;-0.06222503;-446.02376237;-0.20335577;-1215.92829481;-73.23833274
0.0;0.0;0.0;0.0;0.1257;0.0;0.0942;0.0;0.0;0.0;-450.20822892;-0.00287948;548.44861112;-0.04220258;-510.38921805;-0.12627722;3249.04281883;-3047.85528176
