sg_1;sg_2;sg_3;sg_4;sg_5;f_1_r;f_1_i;f_2_r;f_2_i;f_3_r;f_3_i;f_4_r;f_4_i
0.0;0.0;0.0;0.0942;0.0;773.2138982;-0.00064523;1244.2792326;-0.00040972;-412.65023343;-6.81e-06;390.17792048;-0.00049402
0.0;0.1257;0.0;0.0;0.0;-201.82719701;-1.08e-05;1205.00641659;-0.00038107;-1364.44126138;-0.00080466;527.86611855;-0.00621034
0.1571;0.0;0.0;0.0;0.0;212.62422612;-0.00010048;7083.63412905;-0.00976175;-465.9163127;-6.491e-05;694.21680297;0.00331311
0.0;0.0;0.0;0.1885;0.1885;-1106.74506903;-0.00044884;733.56358557;-0.00027127;-239.32662597;-7.452e-05;55.72166366;-0.00128779
0.1885;0.0;0.0;0.0;0.0;220.77556084;-9.356e-05;-1963.02913502;-0.00090995;-519.79229869;-9.83e-06;245.85789878;-0.00072443
0.0;0.0;0.0;0.0;0.0628;442.33729599;-0.00028731;1323.38922929;-0.00045244;-506.22937064;-0.00012283;606.69527157;0.00410298
0.0;0.1885;0.0;0.0942;0.1571;-142.08681328;1.373e-05;-285.68664041;-2.408e-05;-628.53083049;3.945e-05;193.80351187;6.633e-05
0.2199;0.0628;0.0;0.0;0.0;-59.92308666;7.14e-06;-512.95261291;-0.00013775;-146.17056544;-3.73e-06;9.62277938;-0.00089768
0.2513;0.0314;0.0;0.0;0.0;-129.98050481;2.173e-05;-361.73418869;-4.366e-05;-494.25301317;0.00010453;140.39882611;0.01609928
0.0;0.0628;0.0;0.0;0.0;130.50973132;-4.09e-05;1096.04149422;-0.00028002;-742.47516843;-0.00017892;-0.43696891;-0.00018423
0.2199;0.0;0.0;0.1571;0.2513;-152.56899215;4.587e-05;-572.19171477;-6.662e-05;567.08348983;0.00017238;-38.91112859;-0.00094689
0.1571;0.0;0.1885;0.0314;0.1571;49.68257685;-1.526e-05;-440.24008887;-3.139e-05;1092.1237102;0.00276248;80.72168412;0.00019828
0.0;0.1885;0.0;0.0;0.0942;-63.89122116;6.18e-06;5340.48662866;-0.0084048;-1917.07652502;-0.00475602;-477.47410184;0.02022628
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.2199;0.0;0.0;0.2513;0.0628;415.86425055;7.048e-05;-451.10137158;-4.283e-05;-65.04890332;7.022e-05;437.64646215;-7.19e-05
0.0;0.0;0.0;0.0;0.1885;1945.91810266;-0.00275115;-2167.24266588;-0.00128217;-321.30581171;-0.0001551;174.85120634;-0.00324647
0.0;0.0;0.2199;0.0;0.0;309.03733203;-0.00017501;-1763.75054979;-0.00094241;-181.72577885;-6.209e-05;2997.71462387;-0.04654902
0.0;0.1885;0.0;0.0;0.2199;-230.72746824;3.579e-05;-305.55840694;-1.819e-05;-41.62749713;-6.609e-05;-15.52307665;0.00024647
0.0;0.0;0.0;0.2199;0.0;-306.55098026;3.862e-05;-800.57362872;-0.00013733;-457.79037133;0.00042343;509.50467059;-0.00019518
0.0;0.0;0.0;0.1257;0.1885;689.83267281;-0.00058698;-11824.46895322;-0.04780174;-1157.72741832;0.00085775;-1134.02225061;-0.00330134
0.0;0.0;0.0;0.0;0.1257;551.2154347;-0.00040208;2049.56958839;-0.00116499;-898.9397647;-0.00016126;-326.79654165;-0.00758345
0.0;0.0;0.0;0.1571;0.2513;-1442.12665244;-0.00098541;-462.59486457;-0.00011011;-96.73767072;3.56e-06;-819.30813199;0.00135728
0.0;0.2513;0.2199;0.0;0.0314;-321.09986299;7.71e-06;-379.2560431;-1.75e-05;409.15917706;0.00021111;-749.39219696;-0.00737745
0.0;0.0;0.2199;0.0;0.0;-247.69543047;1.08e-06;-20155.70687332;-0.10668617;-417.70193514;-9.366e-05;239.09299923;-0.00114157
0.1885;0.0;0.2199;0.0;0.2199;-248.59155087;6.499e-05;-2231.28059087;-0.00280182;-255.9962436;2.154e-05;975.88304204;-0.25011501
0.1257;0.0314;0.0314;0.0;0.1885;-236.57072413;-1.24e-06;-910.28724305;-0.00019794;-455.28741812;8.835e-05;110.69750944;-0.00053557
0.0;0.0;0.0;0.0;0.2199;225.64488527;-0.00016359;408.3614134;-8.979e-05;-94.90328818;0.00010909;404.57252716;-0.00597355
0.0;0.0;0.0;0.1571;0.2199;322.20898741;-0.00022295;-14303.85298646;-0.08002455;-602.74103824;-0.00016812;-239.78579314;0.0010935
0.0314;0.1885;0.2827;0.0;0.1885;220.07696683;1.989e-05;-148.67941327;3.14e-06;61.95564336;2.43e-06;-189.60829642;0.03025096
0.0;0.0;0.2199;0.0;0.1571;-318.74561593;-0.00018955;-890.29266879;-0.0002511;-66.25432473;-1.685e-05;-1033.09207438;0.03638734
0.1571;0.0;0.0;0.1885;0.0942;-94.08590555;5.04e-06;-179.92113243;-1.378e-05;-2273.40740282;0.02706827;187.01919101;-0.00073258
0.0;0.1571;0.0;0.0;0.1571;764.48188239;-0.000662;-2090.84365898;-0.0011042;-327.92198868;1.348e-05;-185.4785609;-0.00521882
0.0;0.0;0.1257;0.1257;0.0;-223.15414651;-2.903e-05;-1260.71643873;-0.00038737;111.35190989;0.00041384;-1114.11518707;-0.01246548
0.0;0.1257;0.0;0.1571;0.2513;121.58297324;-7.85e-05;168.4199448;-3.347e-05;-190.17277369;7.482e-05;-3919.91568183;-0.95237982
0.1885;0.0;0.0;0.0;0.0;-171.50294672;7.19e-06;-1783.51282399;-0.00063626;-184.22351719;3.031e-05;-95.1560361;-0.00170883
0.1257;0.0;0.0;0.1257;0.0;511.04309183;-0.00034006;-887.64546734;-0.00020976;51.88453041;0.00012648;-511.19099651;-0.01011107
0.0;0.0;0.0;0.0;0.2513;1374.19282788;-0.0016632;-659.88492131;-0.00012608;-963.33329247;-0.0004716;-212.95225092;0.00017243
0.2513;0.0;0.0;0.0;0.0;-136.90708373;1.195e-05;-930.71138522;-0.00034548;-142.67734512;-1.07e-05;-237.00120806;-0.0244326
