sg_1;sg_2;sg_3;sg_4;sg_5;f_1_r;f_1_i;f_2_r;f_2_i;f_3_r;f_3_i;f_4_r;f_4_i
0.0;0.1257;0.0;0.0;0.0;1343.31125022;-0.21322378;1529.45493919;-0.01794441;-862.83735718;-0.01250915;581.45268198;-0.03738495
0.1571;0.0;0.0;0.0;0.0;499.97204361;-0.0313896;1916.09640141;-0.06697998;-724.00163941;-0.03030946;471.23916008;1.73416604
0.0;0.0;0.0;0.1885;0.1885;797.58481802;-0.06604923;2124.68381692;-0.22396819;-628.93380273;-0.028967;1187.02727113;-0.84017136
0.1885;0.0;0.0;0.0;0.0;666.83719932;-0.07309524;2315.24277768;-0.13805224;-673.62982535;-0.0210111;582.62534292;0.17591733
0.0;0.0;0.0;0.0;0.0628;414.68224783;-0.0011609;1471.06788706;-0.01030148;-770.81976225;-0.00729266;556.188815;-0.01585712
0.0;0.1885;0.0;0.0942;0.1571;-859.52786345;-0.14736596;17048.858047;-19.32051446;-590.64647685;-0.02984832;1493.14353242;-1.52134067
0.2199;0.0628;0.0;0.0;0.0;-10002.57926496;-28.46184063;4059.54485632;-0.69403968;-546.96443289;-0.02465007;1022.13108217;-0.44022982
0.2513;0.0314;0.0;0.0;0.0;-590.71146993;-0.10872826;7753.74626974;-2.89192137;-661.87838993;-0.03025275;901.13103107;-0.17307087
0.0;0.0628;0.0;0.0;0.0;333.31042716;-0.00050944;1436.38476695;-0.00790551;-814.86972664;-0.0071445;554.95207916;-0.03737301
0.2199;0.0;0.0;0.1571;0.2513;-626.89678613;-0.08566933;-15042.63658468;-20.32643525;-574.57277213;-0.03665401;-1485.63812946;-10.76490122
0.1571;0.0;0.1885;0.0314;0.1571;618.52463127;-0.09196473;-18462.89541091;-27.81041188;-654.48261399;-0.03291514;-220.95165223;-2.18099354
0.0;0.1885;0.0;0.0;0.0942;-760.40309942;-0.14108371;2048.44072362;-0.13772775;-743.35909459;-0.03792275;925.85073469;-0.03789796
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.2199;0.0;0.0;0.2513;0.0628;-1269.25700025;-0.31063581;13892.32893802;-14.92633158;-501.31955201;-0.04142042;4089.86907524;-19.93908702
0.0;0.0;0.0;0.0;0.1885;494.34962968;-0.00816067;2189.71420107;-0.1172357;-699.69820282;-0.01947315;329.72556113;1.48188953
0.0;0.0;0.2199;0.0;0.0;672.21952313;-0.0535922;2143.34273591;-0.13313298;-602.51393989;-0.02288699;871.09484845;-0.07703851
0.0;0.1885;0.0;0.0;0.2199;-2283.30877363;-0.97418892;6563.12882615;-2.60338245;-567.88788871;-0.02914778;1514.23800517;-1.4712268
0.0;0.0;0.0;0.2199;0.0;1444.32142896;-0.20737721;2784.98308895;-0.21455768;-617.98950895;-0.01791064;741.93988221;0.2292484
0.0;0.0;0.0;0.1257;0.1885;528.63928423;-0.02059663;2304.69137524;-0.24177706;-608.12461865;-0.02879362;1282.15727819;-0.67643351
0.0;0.0;0.0;0.0;0.1257;445.23534123;-0.00389741;1709.58659753;-0.04460804;-803.7941141;-0.00976289;577.63213278;-0.02942796
0.0;0.0;0.0;0.1571;0.2513;648.13327361;-0.03911408;3981.45305875;-0.95469253;-493.26657503;-0.02570476;1941.16131397;-2.77544065
0.0;0.2513;0.2199;0.0;0.0314;-1090.67657528;-0.33961277;-20112.93022872;-31.14019465;-613.24759839;-0.02761655;3008.9641275;-9.24523211
0.0;0.0;0.2199;0.0;0.0;2454.73642188;-0.91043885;2114.4016307;-0.12123223;-613.67817061;-0.23448135;803.98219279;-0.08450378
0.1885;0.0;0.2199;0.0;0.2199;-1015.06370728;-0.2668721;3511.58000196;-1.0015322;-480.07242535;-0.042273;35.47986292;-5.23156425
0.1257;0.0314;0.0314;0.0;0.1885;1688.10279116;-0.46787326;4206.30423906;-0.92235852;-593.0204622;-0.02357095;1012.41643951;-0.60373601
0.0;0.0;0.0;0.0;0.2199;404.07817589;-0.00361467;1601.87270274;-0.0739875;-579.56592947;-0.02186024;905.09261669;0.61794283
0.0;0.0;0.0;0.1571;0.2199;550.55688274;-0.02665269;2487.46147535;-0.32386089;-857.33157929;-0.03443186;1785.08926014;-2.04027504
0.0314;0.1885;0.2827;0.0;0.1885;-511.47171414;-0.05632132;-2698.9471875;-0.82287743;-474.06819315;-0.02102363;1069.93902913;-27.51710543
0.0;0.0;0.2199;0.0;0.1571;650.23231894;-0.06104027;3574.95304038;-0.68808982;-507.02936609;-0.02957395;1484.77606924;-1.57685327
0.1571;0.0;0.0;0.1885;0.0942;-1031.35871228;-0.22222389;16860.65096337;-21.01747317;-476.94133888;-0.02300252;2236.42232564;-4.07882921
0.0;0.1571;0.0;0.0;0.1571;782.32484681;-0.08466563;2318.52292274;-0.20978719;-648.41524894;-0.02820879;1013.57208037;-0.48068986
0.0;0.0;0.1257;0.1257;0.0;1122.34620282;-0.16601329;2637.32170985;-0.23935692;-959.62835635;-1.03681867;920.22131788;-0.17763181
0.0;0.1257;0.0;0.1571;0.2513;571.24168318;-0.05536419;2001.21229361;-0.2681318;-522.67749209;-0.03161125;-3115.89831398;-12.9688583
0.1885;0.0;0.0;0.0;0.0;-1808.64925302;-0.70607022;2080.29769109;-0.09714868;-569.49329738;-0.01912005;564.48886787;0.08252246
0.1257;0.0;0.0;0.1257;0.0;831.09009675;-0.10780829;2657.00079434;-0.2392703;-583.99564521;-0.02246941;882.85645778;-0.2188331
0.0;0.0;0.0;0.0;0.2513;496.18809691;-0.00977239;2687.81691423;-0.27646697;-770.54620854;-0.02167666;801.29685228;-0.12643215
0.2513;0.0;0.0;0.0;0.0;-2514.68749116;-1.67022292;3194.75557126;-0.34863994;-594.96604103;-0.02320074;809.99633558;-0.28338097
0.0;0.0;0.2199;0.0;0.0;1019.08027376;-0.13680382;2324.61340527;-0.1532049;-838.04445717;-0.01594121;562.1311847;0.71534416
0.0;0.0;0.1257;0.0;0.0;470.13262747;-0.01262817;1740.93427614;-0.04671576;-744.99887655;-0.01468105;571.86962126;-0.01199565
0.0;0.0;0.0;0.0;0.1257;438.30795768;-0.00336173;2111.57277686;-0.08618263;-794.128879;-0.0120394;557.3509768;0.02222608
0.0;0.0628;0.0;0.0;0.0;670.03037347;-0.0240372;1521.59323274;-0.00590251;-817.1416609;-0.00534502;523.84623604;-0.00139829
0.0;0.0628;0.0;0.0;0.2199;579.74523077;-0.02755291;1598.77214156;-0.07403061;-595.20624404;-0.0591228;918.86776714;-0.35045929
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.2513;0.0;0.1885;0.0;0.0;-813.30133818;-0.1824019;52730.34572159;-182.21637839;-436.86090451;-0.48411285;1990.51775035;-3.18768749
0.1571;0.0628;0.0;0.0628;0.2513;-8721.01476726;-16.03708536;16195.23286258;-19.42567822;-434.31110692;-0.02296667;3859.59130983;-15.93546243
0.0;0.0;0.0314;0.0;0.0942;580.89393596;-0.01559795;1723.28106136;-0.04759001;-752.61997;-0.01451997;587.33466089;-0.03084983
0.1571;0.0;0.0;0.2199;0.0;-3476.92386504;-2.30985637;3723.89935403;-0.71168278;-563.50113471;-0.0302344;1314.070401;-1.08517627
0.0;0.0;0.1885;0.2199;0.0;2037.98935243;-0.72343527;134462.10271874;-1248.82934901;-576.83794074;-0.03276977;1607.46677346;-1.73612866
