sg_1;sg_2;sg_3;sg_4;sg_5;t_1;t_2;t_3;t_4;t_5;t_6;t_7;t_8;t_9;t_10;t_11;t_12
0.0;0.1571;0.0;0.2513;0.2513;0.53342066;1.33015034;-17.77763387;18.03714696;17.32342415;-37.45629806;14.93727213;12.28252481;-80.61251122;45.7649217;-90.92397197;33.62670711
0.0;0.0;0.1885;0.1885;0.0;0.92893784;5.20343734;-68.41257337;84.52950989;30.01635531;-43.36979137;82.6097314;-53.46153414;-92.67534385;-67.54480122;-12.06145939;11.47598327
0.0;0.0;0.0942;0.0;0.1885;0.11865139;20.64546427;-0.55386217;78.84289146;-27.1832161;9.04432963;28.22009556;-26.69006369;-82.91874815;-4.61560231;-55.41480349;33.50015486
0.0;0.0;0.0;0.1885;0.1257;0.75812816;-2.60286215;-33.01924566;97.66792705;-31.13852117;-1.8032217;94.94135623;-14.22542522;-15.61976492;-19.8202956;35.11395567;-77.45302159
0.0;0.0;0.1885;0.0628;0.0628;-0.89688483;-1.66825547;-68.66610266;100.48901318;15.90108898;-81.51079239;126.06418847;10.41736065;-124.48471412;-144.42685969;-0.4963253;17.47404337
0.0;0.0;0.2513;0.1257;0.0;0.22927904;-6.40313322;-28.20006535;60.5841351;46.06164904;-62.54339476;92.71026738;27.74747331;-78.22014633;-16.65601061;27.60474883;-2.59357985
0.0;0.1571;0.1257;0.1257;0.0;0.41877339;-6.3412123;-29.2326379;27.84639808;60.14283452;-80.05948954;116.15211501;-55.70602885;-52.51595716;-85.70828084;30.61592673;-146.48519556
0.0;0.0;0.1885;0.0;0.2199;0.29944268;11.05687334;-33.40921722;76.06576956;5.26677442;-28.88109209;58.19887067;44.42471953;-150.61509625;9.55826952;-24.86988652;-7.32135883
0.0;0.0;0.0;0.1885;0.0;-4.07424865;-15.57493331;42.22572971;139.18041383;-53.23166774;-23.16436671;129.58865312;13.28853172;-59.24805925;-119.12421653;80.2061751;-70.84268511
0.0;0.1571;0.0;0.0;0.0;-0.67989293;0.29361236;30.90616648;116.13680069;-52.7375857;-26.11164377;109.42270403;-1.47948548;-9.22470679;-122.79568854;105.29540887;22.74670638
0.0;0.0;0.0;0.0;0.1885;-3.85575048;-24.33793478;-34.29463868;167.58302164;-74.75382931;16.08152227;63.88132332;59.94305589;-1.94984582;25.17330083;39.41810412;-18.75464427
0.0;0.1885;0.2199;0.1257;0.0;-0.18470888;2.50445176;-50.16620285;41.71911116;20.79480024;-67.88866058;18.33736305;10.07691596;-132.58574612;109.15688215;-142.64290393;123.02230719
0.0;0.1885;0.0;0.0;0.0;2.29400038;-7.85728526;62.54046447;53.80809506;16.33635411;-50.93885737;86.21827825;16.95778501;-70.53931652;-150.08083581;31.12599008;-140.12724017
0.0;0.2827;0.0;0.0;0.1571;0.03855989;2.23442084;-1.19994124;9.47846165;2.62219825;-53.57126477;39.61748478;-0.88039242;-4.66935779;-1.37303455;-59.59405348;51.19926226
0.1257;0.0314;0.0;0.0;0.0942;-5.85586598;-30.66035319;21.15917196;91.24819231;3.1866515;-69.89439693;84.25935006;60.23969666;-17.26476785;-77.07045078;15.03593297;-42.30822124
0.0;0.0;0.0;0.0;0.0314;-39.52224331;-98.51286104;142.56329903;141.83624926;-145.96232576;10.93885621;40.21133002;57.48446226;72.32614177;-210.30072802;106.64317695;-89.67791982
